transition_id,issue_id,from_episode,to_episode,transition_date,notes
"DIBO-JP-0001-T001","DIBO-JP-0001","DIBO-JP-0001-E001","DIBO-JP-0001-E002","2019-04-24","Issue-level policy uptake: the 2019 law followed the first action and addressed the same redress problem; this is not coded as a formal referral or single-cause relationship."
"DIBO-JP-0001-T002","DIBO-JP-0001","DIBO-JP-0001-E002","DIBO-JP-0001-E003","2019-04-24","The statutory lump-sum payment pathway moved into administrative implementation on its effective date."
"DIBO-JP-0001-T003","DIBO-JP-0001","DIBO-JP-0001-E001","DIBO-JP-0001-E004","2024-07-03","Judicial continuation: the Sendai action proceeded through appeals to the Grand Bench; intermediate rulings are omitted from this deliberately small Episode set."
"DIBO-JP-0001-T004","DIBO-JP-0001","DIBO-JP-0001-E004","DIBO-JP-0001-E005","2024-07-17","Official executive response to the Grand Bench judgments: the Prime Minister apologized and stated directions for settlements and a new compensation framework."
"DIBO-JP-0001-T005","DIBO-JP-0001","DIBO-JP-0001-E004","DIBO-JP-0001-E006","2024-10-08","The statute's official summary expressly references the 2024 Grand Bench judgments and acknowledges responsibility; this records legislative response, not a single-cause claim."
"DIBO-JP-0001-T006","DIBO-JP-0001","DIBO-JP-0001-E006","DIBO-JP-0001-E007","2025-01-17","The statutory compensation scheme moved into administrative implementation on its effective date."
"DIBO-JP-0002-T001","DIBO-JP-0002","DIBO-JP-0002-E001","DIBO-JP-0002-E002","2023-04-14","The Osaka litigation challenged benefit-modification decisions based on the disputed revision; the High Court judgment is the selected canonical Episode for this pathway, with the District Court stage omitted."
"DIBO-JP-0002-T002","DIBO-JP-0002","DIBO-JP-0002-E001","DIBO-JP-0002-E003","2023-11-30","The Nagoya litigation challenged benefit-modification decisions based on the disputed revision; the High Court judgment is the selected canonical Episode for this pathway, with the District Court stage omitted."
"DIBO-JP-0002-T003","DIBO-JP-0002","DIBO-JP-0002-E002","DIBO-JP-0002-E004","2025-06-27","Judicial continuation: the selected Osaka appeal proceeded to Supreme Court review in cases Reiwa 5 (Gyo-Hi) Nos. 397 and 398; this is a same-Line J-to-J transition."
"DIBO-JP-0002-T004","DIBO-JP-0002","DIBO-JP-0002-E003","DIBO-JP-0002-E005","2025-06-27","Judicial continuation: the selected Nagoya appeal proceeded to Supreme Court review in case Reiwa 6 (Gyo-Hi) No. 170; this is a same-Line J-to-J transition."
"DIBO-JP-0002-T005","DIBO-JP-0002","DIBO-JP-0002-E004","DIBO-JP-0002-E006","2025-11-21","Official administrative response: the Ministry's additional-payment direction addressed the institutional response following the Osaka Supreme Court judgment."
"DIBO-JP-0002-T006","DIBO-JP-0002","DIBO-JP-0002-E005","DIBO-JP-0002-E006","2025-11-21","Official administrative response: the Ministry's additional-payment direction addressed the institutional response following the Nagoya Supreme Court judgment."
"DIBO-JP-0002-T007","DIBO-JP-0002","DIBO-JP-0002-E006","DIBO-JP-0002-E007","2025-12-16","The supplementary budget provided funding for the government's additional-payment response; this records budget authorization rather than enactment of a compensation law."
"DIBO-JP-0002-T008","DIBO-JP-0002","DIBO-JP-0002-E007","DIBO-JP-0002-E008","2026-03-01","Following budget approval, the special standard and Ministry instructions moved the funded response into administrative implementation."
"DIBO-JP-0003-T001","DIBO-JP-0003","DIBO-JP-0003-E001","DIBO-JP-0003-E002","2026-02-12","The Council's response completed the formal inquiry opened by Question No. 129; the subcommittee's 18 meetings are compressed within this same Administrative pathway."
"DIBO-JP-0003-T002","DIBO-JP-0003","DIBO-JP-0003-E002","DIBO-JP-0003-E003","2026-05-15","The government prepared and submitted legislation following the Council's response, moving the proposed rules toward parliamentary consideration."
"DIBO-JP-0003-T003","DIBO-JP-0003","DIBO-JP-0003-E003","DIBO-JP-0003-E004","2026-07-17","The submitted government bill proceeded through House amendment and final Diet passage; this records legislative adoption without treating every committee or chamber action as a separate Episode."
"DIBO-JP-0004-T001","DIBO-JP-0004","DIBO-JP-0004-E001","DIBO-JP-0004-E002","2021-06-23","Later judicial re-entry into the same surname-system question; the 2021 Grand Bench decision reconsidered the constitutional challenge while maintaining the 2015 conclusion."
"DIBO-JP-0004-T002","DIBO-JP-0004","DIBO-JP-0004-E002","DIBO-JP-0004-E003","2025-04-30","Issue-level legislative uptake following repeated judicial consideration of the same surname-system question; this is not a formal referral or single-cause claim."
"DIBO-JP-0004-T003","DIBO-JP-0004","DIBO-JP-0004-E002","DIBO-JP-0004-E004","2025-05-19","Issue-level legislative uptake following repeated judicial consideration of the same surname-system question; this is not a formal referral or single-cause claim."
"DIBO-JP-0004-T004","DIBO-JP-0004","DIBO-JP-0004-E002","DIBO-JP-0004-E005","2025-05-28","Issue-level legislative uptake following repeated judicial consideration of the same surname-system question; this is not a formal referral or single-cause claim."
"DIBO-JP-0004-T005","DIBO-JP-0004","DIBO-JP-0004-E003","DIBO-JP-0004-E006","2025-06-20","Bill No. 29 proceeded into the common committee action requesting continued examination; this does not merge it with the other proposals."
"DIBO-JP-0004-T006","DIBO-JP-0004","DIBO-JP-0004-E004","DIBO-JP-0004-E006","2025-06-20","Bill No. 30 proceeded into the common committee action requesting continued examination; its same-surname design remained distinct."
"DIBO-JP-0004-T007","DIBO-JP-0004","DIBO-JP-0004-E005","DIBO-JP-0004-E006","2025-06-20","Bill No. 35 proceeded into the common committee action requesting continued examination; this does not merge it with the other proposals."
"DIBO-JP-0004-T008","DIBO-JP-0004","DIBO-JP-0004-E006","DIBO-JP-0004-E007","2026-03-13","Following unresolved legislative consideration of different surname-policy proposals, the same underlying problem entered a formal government policy pathway; this does not imply formal referral or adoption of any 2025 bill."
